method,path,handler,file,line
GET,/health,health,backend/app/main.py,624
GET,/health/worker,worker_health,backend/app/main.py,629
GET,/ready,readiness,backend/app/main.py,684
GET,/api/bots/runtime/status,get_bot_runtime_status,backend/app/main.py,925
GET,/api/auth/me,get_auth_me,backend/app/main.py,942
GET,/api/me/providers/projectx/credentials/status,get_projectx_credentials_status,backend/app/main.py,951
PUT,/api/me/providers/projectx/credentials,put_projectx_credentials,backend/app/main.py,994
DELETE,/api/me/providers/projectx/credentials,delete_projectx_credentials_for_user,backend/app/main.py,1038
GET,/trades,list_trades,backend/app/main.py,1045
POST,/api/expenses,create_expense,backend/app/main.py,1061
GET,/api/expenses,list_expenses,backend/app/main.py,1123
GET,/api/expenses/combine-tracker-suppressions,get_combine_tracker_expense_suppressions,backend/app/main.py,1160
GET,/api/expenses/totals,get_expense_totals,backend/app/main.py,1175
GET,/api/expenses/financial-summary,get_financial_summary,backend/app/main.py,1243
PATCH,/api/expenses/{expense_id},update_expense,backend/app/main.py,1356
DELETE,/api/expenses/{expense_id},delete_expense,backend/app/main.py,1441
POST,/api/payouts,create_payout,backend/app/main.py,1477
GET,/api/payouts,list_payouts,backend/app/main.py,1509
GET,/api/payouts/totals,get_payout_totals,backend/app/main.py,1535
PATCH,/api/payouts/{payout_id},update_payout,backend/app/main.py,1568
DELETE,/api/payouts/{payout_id},delete_payout,backend/app/main.py,1622
GET,/metrics/summary,metrics_summary,backend/app/main.py,1645
GET,/metrics/pnl-by-hour,metrics_pnl_by_hour,backend/app/main.py,1656
GET,/metrics/pnl-by-day,metrics_pnl_by_day,backend/app/main.py,1667
GET,/metrics/pnl-by-symbol,metrics_pnl_by_symbol,backend/app/main.py,1678
GET,/metrics/streaks,metrics_streaks,backend/app/main.py,1689
GET,/metrics/behavior,metrics_behavior,backend/app/main.py,1700
POST,/api/accounts/{account_id}/automation-classification/refresh,refresh_projectx_account_automation_classification,backend/app/main.py,1714
GET,/api/accounts,list_projectx_accounts,backend/app/main.py,1777
POST,/api/accounts/import-target,create_topstep_live_import_target,backend/app/main.py,1976
PATCH,/api/accounts/{account_id}/trade-data-source,update_projectx_account_trade_data_source,backend/app/main.py,2038
PATCH,/api/accounts/{account_id}/display-name,rename_projectx_account,backend/app/main.py,2091
POST,/api/accounts/{account_id}/main,set_projectx_main_account,backend/app/main.py,2131
POST,/api/accounts/{account_id}/archive,archive_topstep_live_account,backend/app/main.py,2171
POST,/api/accounts/{account_id}/unarchive,unarchive_topstep_live_account,backend/app/main.py,2232
GET,/api/accounts/{account_id}/last-trade,get_projectx_account_last_trade,backend/app/main.py,2272
GET,/api/projectx/contracts/search,search_projectx_contracts,backend/app/main.py,2335
GET,/api/projectx/candles,get_projectx_market_candles,backend/app/main.py,2361
GET,/api/projectx/market-price/stream,stream_projectx_market_price,backend/app/main.py,2746
GET,/api/projectx/market-depth/stream,stream_projectx_market_depth,backend/app/main.py,2781
POST,/api/trade-plan/evaluate,evaluate_trade_plan,backend/app/main.py,2836
GET,/api/bots,list_trading_bots,backend/app/main.py,2848
POST,/api/bots,create_trading_bot,backend/app/main.py,2867
PATCH,/api/bots/{bot_config_id},update_trading_bot,backend/app/main.py,2888
DELETE,/api/bots/{bot_config_id},delete_trading_bot,backend/app/main.py,2912
POST,/api/bots/{bot_config_id}/backtests,create_trading_bot_backtest,backend/app/main.py,2939
POST,/api/accounts/{account_id}/topbot/start,start_account_topbot,backend/app/main.py,3208
GET,/api/accounts/{account_id}/manual-order-tests,manual_order_test_state,backend/app/main.py,3253
POST,/api/accounts/{account_id}/manual-order-tests,place_manual_order_test,backend/app/main.py,3268
POST,/api/bots/{bot_config_id}/start,start_trading_bot,backend/app/main.py,3287
POST,/api/bots/{bot_config_id}/evaluate,evaluate_trading_bot,backend/app/main.py,3379
POST,/api/bots/{bot_config_id}/stop,stop_trading_bot,backend/app/main.py,3436
POST,/api/bots/{bot_config_id}/emergency-flatten,emergency_flatten_trading_bot,backend/app/main.py,3460
POST,/api/accounts/{account_id}/emergency-flatten,emergency_flatten_projectx_account,backend/app/main.py,3528
GET,/api/bots/{bot_config_id}/activity,get_trading_bot_activity,backend/app/main.py,3596
GET,/api/accounts/{account_id}/journal,list_projectx_account_journal_entries,backend/app/main.py,3618
POST,/api/accounts/{account_id}/journal,create_projectx_account_journal_entry,backend/app/main.py,3655
POST,/api/accounts/{account_id}/journal/ai-recap,create_projectx_account_ai_journal_recap,backend/app/main.py,3686
POST,/projectx/accounts/{account_id}/journal/ai-recap,create_projectx_account_ai_journal_recap,backend/app/main.py,3686
POST,/api/journal/merge,merge_projectx_account_journal_entries,backend/app/main.py,3730
GET,/api/accounts/{account_id}/journal/days,list_projectx_account_journal_days,backend/app/main.py,3780
PATCH,/api/accounts/{account_id}/journal/{entry_id},update_projectx_account_journal_entry,backend/app/main.py,3806
DELETE,/api/accounts/{account_id}/journal/{entry_id},delete_projectx_account_journal_entry,backend/app/main.py,3871
POST,/api/accounts/{account_id}/journal/{entry_id}/images,upload_projectx_account_journal_image,backend/app/main.py,3890
GET,/api/accounts/{account_id}/journal/{entry_id}/images,list_projectx_account_journal_images,backend/app/main.py,3928
GET,/api/journal-images/{image_id},serve_journal_image,backend/app/main.py,3952
DELETE,/api/accounts/{account_id}/journal/{entry_id}/images/{image_id},delete_projectx_account_journal_image,backend/app/main.py,3988
POST,/api/accounts/{account_id}/journal/{entry_id}/pull-trade-stats,pull_projectx_account_journal_trade_stats,backend/app/main.py,4018
POST,/api/accounts/{account_id}/trades/refresh,refresh_projectx_account_trades,backend/app/main.py,4098
POST,/api/accounts/{account_id}/trade-imports/preview,preview_topstep_trade_import,backend/app/main.py,4138
POST,/api/accounts/{account_id}/trade-imports/confirm,confirm_topstep_trade_import,backend/app/main.py,4173
POST,/api/accounts/{account_id}/trade-imports/status,get_topstep_trade_import_status,backend/app/main.py,4202
GET,/api/accounts/{account_id}/trades,list_projectx_account_trades,backend/app/main.py,4228
GET,/api/accounts/{account_id}/summary,get_projectx_account_summary,backend/app/main.py,4289
GET,/api/accounts/{account_id}/summary-with-point-bases,get_projectx_account_summary_with_point_bases,backend/app/main.py,4330
GET,/api/accounts/{account_id}/pnl-calendar,get_projectx_account_pnl_calendar,backend/app/main.py,4374
GET,/api/market-data/inventory,inventory,backend/app/market_data_routes.py,29
GET,/api/market-data/context,context,backend/app/market_data_routes.py,34
GET,/api/market-data/public-status,public_status,backend/app/market_data_routes.py,42
POST,/api/market-data/refresh-public,refresh_public,backend/app/market_data_routes.py,47
POST,/api/market-data/import-local-history,import_capture,backend/app/market_data_routes.py,57
POST,/api/market-data/refresh,refresh,backend/app/market_data_routes.py,71
GET,/api/market-events,get_market_events,backend/app/market_event_routes.py,22
POST,/api/market-events/refresh,post_market_events_refresh,backend/app/market_event_routes.py,32
GET,/api/market-observations/status,get_observation_status,backend/app/market_observation_routes.py,31
GET,/api/decision-research,get_decision_research,backend/app/market_observation_routes.py,36
POST,/api/decision-research/evaluate,evaluate_decision_research,backend/app/market_observation_routes.py,42
GET,/api/decision-research/{snapshot_id},get_decision_snapshot,backend/app/market_observation_routes.py,48
